epoch,train_srcc,test_srcc,best_srcc,rl2
412,0.9618,0.7455,0.8398,0.6108
413,0.9620,0.7342,0.8398,0.6406
414,0.9618,0.7396,0.8398,0.6228
415,0.9673,0.7334,0.8398,0.6460
416,0.9649,0.7544,0.8398,0.6637
417,0.9595,0.6954,0.8398,0.6241
418,0.9698,0.7110,0.8398,0.6167
419,0.9669,0.7399,0.8398,0.6298
420,0.9640,0.7085,0.8398,0.6454
421,0.9659,0.7117,0.8398,0.6356
422,0.9621,0.7045,0.8398,0.6176
423,0.9667,0.7122,0.8398,0.6377
424,0.9649,0.7194,0.8398,0.6329
425,0.9646,0.7368,0.8398,0.6360
426,0.9610,0.7481,0.8398,0.6311
427,0.9638,0.7340,0.8398,0.6123
428,0.9641,0.7405,0.8398,0.6304
429,0.9641,0.7014,0.8398,0.6136
430,0.9692,0.7148,0.8398,0.6517
431,0.9664,0.7277,0.8398,0.6210
432,0.9638,0.6954,0.8398,0.6389
433,0.9621,0.7123,0.8398,0.6175
434,0.9646,0.7175,0.8398,0.6173
435,0.9681,0.7160,0.8398,0.6310
436,0.9639,0.7393,0.8398,0.6121
437,0.9636,0.7213,0.8398,0.5973
438,0.9642,0.7439,0.8398,0.6449
439,0.9686,0.7120,0.8398,0.6340
440,0.9649,0.7341,0.8398,0.6256
441,0.9671,0.7367,0.8398,0.6309
442,0.9620,0.7328,0.8398,0.6220
443,0.9681,0.7343,0.8398,0.6227
444,0.9622,0.7302,0.8398,0.6194
445,0.9617,0.7009,0.8398,0.6341
446,0.9687,0.7209,0.8398,0.6153
447,0.9673,0.7123,0.8398,0.6169
448,0.9630,0.7419,0.8398,0.6473
449,0.9681,0.7206,0.8398,0.6552
450,0.9697,0.7063,0.8398,0.6302
451,0.9629,0.7298,0.8398,0.6776
452,0.9669,0.7363,0.8398,0.6290
453,0.9650,0.6955,0.8398,0.6283
454,0.9648,0.7266,0.8398,0.6695
455,0.9647,0.7099,0.8398,0.6317
456,0.9662,0.7094,0.8398,0.6255
457,0.9649,0.7419,0.8398,0.6214
458,0.9645,0.7151,0.8398,0.6087
459,0.9656,0.7441,0.8398,0.6317
460,0.9622,0.7066,0.8398,0.5960
461,0.9613,0.7372,0.8398,0.6505
462,0.9633,0.6938,0.8398,0.5999
463,0.9668,0.7145,0.8398,0.6273
464,0.9688,0.7144,0.8398,0.6148
465,0.9657,0.7265,0.8398,0.6433
466,0.9629,0.7377,0.8398,0.6544
467,0.9627,0.7193,0.8398,0.6218
468,0.9652,0.7369,0.8398,0.6052
469,0.9652,0.7251,0.8398,0.6549
470,0.9700,0.7141,0.8398,0.6151
471,0.9630,0.7258,0.8398,0.6128
472,0.9631,0.7428,0.8398,0.6470
473,0.9635,0.7397,0.8398,0.6226
474,0.9666,0.7381,0.8398,0.6235
475,0.9643,0.6862,0.8398,0.6240
476,0.9665,0.7277,0.8398,0.6586
477,0.9664,0.7138,0.8398,0.6095
478,0.9606,0.7472,0.8398,0.6614
479,0.9669,0.6997,0.8398,0.6252
480,0.9609,0.7358,0.8398,0.6455
481,0.9634,0.6977,0.8398,0.6244
482,0.9635,0.7445,0.8398,0.6434
483,0.9644,0.6942,0.8398,0.6241
484,0.9620,0.7383,0.8398,0.6447
485,0.9668,0.7221,0.8398,0.6194
486,0.9657,0.7143,0.8398,0.6457
487,0.9666,0.7271,0.8398,0.6034
488,0.9644,0.7072,0.8398,0.6187
489,0.9653,0.7235,0.8398,0.6630
490,0.9642,0.7169,0.8398,0.6052
491,0.9652,0.7272,0.8398,0.6672
492,0.9659,0.7536,0.8398,0.6536
493,0.9627,0.6882,0.8398,0.6217
494,0.9633,0.7080,0.8398,0.6194
495,0.9664,0.7142,0.8398,0.6385
496,0.9637,0.7331,0.8398,0.6369
497,0.9664,0.7233,0.8398,0.6384
498,0.9698,0.7092,0.8398,0.6219
499,0.9657,0.7177,0.8398,0.6348
